Rooms;Type;Size;Price;Address
2;lejlighed;85 m²;12.500  kr.;København S, Oxford Allé
4;lejlighed;92 m²;13.250  kr.;Vallensbæk Strand, Torbenfeldvej
3;lejlighed;87 m²;13.500  kr.;Taastrup, Skjeberg Allé
4;lejlighed;108 m²;14.300  kr.;Vallensbæk Strand, Torbenfeldvej
4;lejlighed;105 m²;13.900  kr.;Vallensbæk Strand, Torbenfeldvej
2;lejlighed;76 m²;13.900  kr.;København S, Michael Strunges Vej
1;værelse;29 m²;7.500,09  kr.;Frederiksberg C, Bülowsvej
2;lejlighed;64 m²;10.500  kr.;Hedehusene, Skolebakken
3;lejlighed;86 m²;11.350  kr.;Hedehusene, Urtehaven
4;lejlighed;88 m²;13.000  kr.;Herlev, Vasekær
1;lejlighed;65 m²;11.600  kr.;Herlev, Hørkær
4;lejlighed;142 m²;17.975  kr.;København S, Asger Jorns Allé
3;lejlighed;98 m²;16.995  kr.;København SV, Ben Websters Vej
4;lejlighed;92 m²;13.750  kr.;Hedehusene, Havtornvej
1;lejlighed;31 m²;8.600  kr.;København Ø, Stadens Vænge
2;lejlighed;43 m²;10.350  kr.;København SV, Poppelstykket
1;lejlighed;34 m²;9.550  kr.;København SV, Henriette Crones Gade
1;lejlighed;31 m²;9.350  kr.;København SV, Henriette Crones Gade
1;lejlighed;31 m²;9.150  kr.;København SV, Henriette Crones Gade
1;lejlighed;31 m²;9.150  kr.;København SV, Henriette Crones Gade
2;lejlighed;50 m²;9.000  kr.;Bagsværd, Bagsværd Hovedgade
1;lejlighed;31 m²;8.500  kr.;København SV, Viola Nørløvs Gade
1;lejlighed;31 m²;8.700  kr.;København SV, Viola Nørløvs Gade
1;lejlighed;31 m²;8.500  kr.;København SV, Viola Nørløvs Gade
1;lejlighed;31 m²;9.550  kr.;København SV, Henriette Crones Gade
1;lejlighed;31 m²;9.250  kr.;København SV, Henriette Crones Gade
5;rækkehus;133 m²;19.000  kr.;København S, Else Alfelts Vej
4;lejlighed;97 m²;13.000  kr.;Taastrup, Tommerupgade
3;lejlighed;91 m²;12.600  kr.;Taastrup, Rønnebygade
3;lejlighed;81 m²;14.500  kr.;København S, Else Alfelts Vej
3;lejlighed;73 m²;11.000  kr.;Hedehusene, Sporstræde
3;lejlighed;89 m²;12.500  kr.;Taastrup, Parkstrøget
4;lejlighed;95 m²;14.990  kr.;Søborg, Rosendal
1;lejlighed;33 m²;10.300  kr.;København V, Dybbølsbro
1;lejlighed;33 m²;11.000  kr.;København V, Dybbølsbro
1;lejlighed;33 m²;11.200  kr.;København V, Dybbølsbro
2;lejlighed;53 m²;15.500  kr.;København V, Dybbølsbro
1;lejlighed;33 m²;10.500  kr.;København V, Dybbølsbro
1;lejlighed;33 m²;11.200  kr.;København V, Dybbølsbro
1;lejlighed;33 m²;10.400  kr.;København V, Dybbølsbro
1;lejlighed;33 m²;10.500  kr.;København V, Dybbølsbro
1;lejlighed;33 m²;10.200  kr.;København V, Dybbølsbro
1;lejlighed;32 m²;10.900  kr.;København K, Store Kongensgade
3;lejlighed;92 m²;14.850  kr.;København S, Lindgreens Allé
4;lejlighed;152 m²;30.000  kr.;Frederiksberg C, Boyesgade
2;lejlighed;62 m²;14.000  kr.;København V, Enghavevej
3;lejlighed;102 m²;13.090  kr.;Vallensbæk Strand, Rosenfeldtvej
2;lejlighed;52 m²;16.500  kr.;København V, Thorvald Bindesbølls Plads
3;lejlighed;73 m²;11.500  kr.;Brøndby, Amperestien
4;lejlighed;102 m²;14.300  kr.;Herlev, Hørkær
3;lejlighed;87 m²;13.300  kr.;Herlev, Hørkær
4;lejlighed;117 m²;14.900  kr.;Vallensbæk Strand, Amalieparken
3;lejlighed;99 m²;13.600  kr.;Vallensbæk Strand, Amalieparken
3;lejlighed;77 m²;12.695  kr.;Rødovre, Gunnekær
3;lejlighed;135 m²;24.000  kr.;København S, Islands Brygge
2;lejlighed;74 m²;11.000  kr.;København NV, Frederikssundsvej
2;lejlighed;106 m²;23.000  kr.;Frederiksberg C, Gammel Kongevej
4;lejlighed;99 m²;16.900  kr.;København K, Margretheholmsvej
4;lejlighed;153 m²;21.500  kr.;København S, Njalsgade
3;lejlighed;56 m²;14.400  kr.;København V, Olivia Hansens Gade
4;lejlighed;125 m²;18.500  kr.;København S, Vejlands Alle
2;lejlighed;70 m²;11.800  kr.;København S, Vejlands Alle
2;lejlighed;66 m²;11.200  kr.;København S, Vejlands Alle
4;lejlighed;105 m²;16.700  kr.;København S, Vejlands Alle
4;lejlighed;128 m²;17.100  kr.;København S, Vejlands Alle
4;lejlighed;108 m²;16.900  kr.;København S, Vejlands Alle
3;lejlighed;88 m²;13.900  kr.;København S, Vejlands Alle
4;lejlighed;105 m²;16.700  kr.;København S, Vejlands Alle
4;lejlighed;125 m²;18.500  kr.;København S, Vejlands Alle
1;værelse;14 m²;6.500  kr.;København N, Fyensgade
